tweet_id,jpg_url,p1,p1_conf,p2,p2_conf,p3,p3_conf,dog_stage
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,Welsh_springer_spaniel,0.465074,collie,0.156665,Shetland_sheepdog,0.0614285,None
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,redbone,0.506826,miniature_pinscher,0.07419169999999999,Rhodesian_ridgeback,0.07201,None
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,German_shepherd,0.596461,malinois,0.13858399999999998,bloodhound,0.116197,None
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,Rhodesian_ridgeback,0.408143,redbone,0.360687,miniature_pinscher,0.222752,None
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,miniature_pinscher,0.560311,Rottweiler,0.243682,Doberman,0.154629,None
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,Bernese_mountain_dog,0.651137,English_springer,0.263788,Greater_Swiss_Mountain_dog,0.0161992,None
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,chow,0.692517,Tibetan_mastiff,0.0582794,fur_coat,0.0544486,None
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,shopping_cart,0.962465,shopping_basket,0.0145938,golden_retriever,0.00795896,None
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,miniature_poodle,0.201493,komondor,0.192305,soft-coated_wheaten_terrier,0.08208610000000001,None
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,golden_retriever,0.77593,Tibetan_mastiff,0.0937178,Labrador_retriever,0.07242660000000001,None
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,Gordon_setter,0.503672,Yorkshire_terrier,0.174201,Pekinese,0.109454,None
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,Walker_hound,0.260857,English_foxhound,0.17538199999999998,Ibizan_hound,0.0974705,None
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,pug,0.489814,bull_mastiff,0.404722,French_bulldog,0.0489595,None
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,bloodhound,0.195217,German_shepherd,0.0782598,malinois,0.07562780000000001,None
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,Lhasa,0.58233,Shih-Tzu,0.166192,Dandie_Dinmont,0.0896883,None
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,English_setter,0.298617,Newfoundland,0.149842,borzoi,0.133649,None
666273097616637952,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,Italian_greyhound,0.176053,toy_terrier,0.111884,basenji,0.111152,None
666337882303524864,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,ox,0.416669,Newfoundland,0.278407,groenendael,0.102643,None
666345417576210432,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,golden_retriever,0.8587440000000001,Chesapeake_Bay_retriever,0.0547868,Labrador_retriever,0.0142409,None
666353288456101888,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,malamute,0.33687399999999995,Siberian_husky,0.147655,Eskimo_dog,0.0934124,None
666373753744588802,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,soft-coated_wheaten_terrier,0.326467,Afghan_hound,0.25955100000000003,briard,0.206803,None
666396247373291520,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,Chihuahua,0.978108,toy_terrier,0.00939697,papillon,0.00457681,None
666407126856765440,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,black-and-tan_coonhound,0.529139,bloodhound,0.24422,flat-coated_retriever,0.17381,None
666418789513326592,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,toy_terrier,0.14968,papillon,0.148258,Chihuahua,0.14286,None
666421158376562688,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,Blenheim_spaniel,0.906777,cocker_spaniel,0.0903464,Shih-Tzu,0.00111687,None
666428276349472768,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,Pembroke,0.371361,chow,0.249394,Pomeranian,0.241878,None
666430724426358785,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg,llama,0.505184,Irish_terrier,0.104109,dingo,0.0620712,None
666435652385423360,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,Chesapeake_Bay_retriever,0.18413,chain_saw,0.056775300000000015,power_drill,0.0367634,None
666437273139982337,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg,Chihuahua,0.6718529999999999,beagle,0.12468,Saluki,0.044094199999999986,None
666447344410484738,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,curly-coated_retriever,0.32208400000000004,giant_schnauzer,0.287955,Labrador_retriever,0.166331,None
666454714377183233,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,dalmatian,0.278954,Labrador_retriever,0.237612,Great_Pyrenees,0.171106,None
666644823164719104,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg,Ibizan_hound,0.0443334,Pembroke,0.0432093,West_Highland_white_terrier,0.0389056,None
666649482315059201,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg,Border_collie,0.447803,English_springer,0.170497,collie,0.139206,None
666691418707132416,https://pbs.twimg.com/media/CUCQTpEWEAA7EDz.jpg,German_shepherd,0.975401,beagle,0.00868727,bloodhound,0.00539404,None
666701168228331520,https://pbs.twimg.com/media/CUCZLHlUAAAeAig.jpg,Labrador_retriever,0.887707,Chihuahua,0.029307,French_bulldog,0.0207563,None
666739327293083650,https://pbs.twimg.com/media/CUC74aTWoAInZey.jpg,miniature_poodle,0.546933,cocker_spaniel,0.165255,toy_poodle,0.0959589,None
666776908487630848,https://pbs.twimg.com/media/CUDeDoWUYAAD-EM.jpg,seat_belt,0.375057,miniature_pinscher,0.167175,Chihuahua,0.0869506,None
666781792255496192,https://pbs.twimg.com/media/CUDigRXXIAATI_H.jpg,Italian_greyhound,0.618316,Weimaraner,0.151363,vizsla,0.08598910000000001,None
666804364988780544,https://pbs.twimg.com/media/CUD3A7YWoAA82N0.jpg,English_setter,0.32879200000000003,Brittany_spaniel,0.283545,Ibizan_hound,0.0574615,None
666817836334096384,https://pbs.twimg.com/media/CUEDSMEWEAAuXVZ.jpg,miniature_schnauzer,0.496953,standard_schnauzer,0.28527600000000003,giant_schnauzer,0.07376369999999999,None
666826780179869698,https://pbs.twimg.com/media/CUELa0NUkAAscGC.jpg,Maltese_dog,0.359383,teddy,0.148759,West_Highland_white_terrier,0.106007,None
666835007768551424,https://pbs.twimg.com/media/CUES51dXIAEahyG.jpg,Airedale,0.448459,toy_poodle,0.12403,teddy,0.110183,None
666996132027977728,https://pbs.twimg.com/media/CUGlb6iUwAITEbW.jpg,hay,0.507637,Rottweiler,0.0624899,water_buffalo,0.0484247,None
667044094246576128,https://pbs.twimg.com/media/CUHREBXXAAE6A9b.jpg,golden_retriever,0.765266,Labrador_retriever,0.206694,seat_belt,0.0106669,None
667062181243039745,https://pbs.twimg.com/media/CUHhgvHUAAA4aB0.jpg,Chesapeake_Bay_retriever,0.825678,vizsla,0.090998,kelpie,0.0229562,None
667073648344346624,https://pbs.twimg.com/media/CUHr8WbWEAEBPgf.jpg,Chihuahua,0.483682,pug,0.0924939,Brabancon_griffon,0.057495400000000016,None
667090893657276420,https://pbs.twimg.com/media/CUH7oLuUsAELWib.jpg,Chihuahua,0.959514,Italian_greyhound,0.00537015,Pomeranian,0.00264133,None
667119796878725120,https://pbs.twimg.com/media/CUIV6F7XIAA1tAM.jpg,Pembroke,0.741563,Chihuahua,0.0578659,toy_poodle,0.0391251,None
667138269671505920,https://pbs.twimg.com/media/CUImtzEVAAAZNJo.jpg,West_Highland_white_terrier,0.747713,Samoyed,0.243629,toy_poodle,0.00180397,None
667152164079423490,https://pbs.twimg.com/media/CUIzWk_UwAAfUNq.jpg,toy_poodle,0.535411,Pomeranian,0.08754400000000001,miniature_poodle,0.06205,None
667160273090932737,https://pbs.twimg.com/media/CUI6uuaW4AAvCIs.jpg,golden_retriever,0.471351,miniature_poodle,0.0919921,standard_poodle,0.08738539999999999,None
